ticker,vol,avg_vol,doll_vol,price,price_change,indicator
GE,35.08,112.39,256.58,7.32,+0.3%,Analyst Report
QCOM,3.46,14.7,249.51,72.17,-1.6%,Analyst Downgrade
APA,25.06,24.51,245.37,9.79,+22.6%,Analyst ReportInsider Buying
KO,4.92,31.12,242.89,49.37,+3.1%,
TVIX,0.94,11.66,239.86,255.08,-1.5%,
NEM,4.28,11.37,238.95,55.8,+9.4%,Analyst ReportInsider SellingAnalyst Revision
PFE,6.69,41.96,236.63,35.39,+2.2%,
PG,2.0,16.24,235.21,117.35,+1.9%,
JD,5.58,20.76,234.48,42.01,+2.0%,
DUK,2.53,5.81,231.32,91.46,+6.5%,
GOLD,10.57,25.39,231.13,21.87,+6.7%,
MS,5.55,24.83,229.23,41.27,+4.6%,Upcoming EarningsAnalyst ReportAnalyst Revision
TWTR,8.19,25.92,228.65,27.91,+0.2%,Analyst Upgrade
TGT,2.19,7.57,226.79,103.74,-0.9%,Analyst Report
ABT,2.65,14.84,224.0,84.51,-0.5%,Upcoming EarningsAnalyst ReportAnalyst Revision
MCD,1.21,8.54,221.7,183.16,+3.1%,Analyst ReportAnalyst Revision
SPG,2.98,8.01,210.98,70.91,+11.3%,Analyst Report
AXP,2.19,10.17,207.93,95.02,+3.1%,Analyst Report
